序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
39,,281382150624,1449802441,"未成熟的小狼崽",4,保密,"“执法”记录仪[微笑]（买了）使用感觉十分不错，说实在的，2000出头的价格拿到[星星眼]已经很不错了",2025-11-03 23:02:36,1,4,"",河北,否,https://i1.hdslb.com/bfs/face/e636e2a9be8d41a4e6fa126e4a1b081193b63abf.jpg
40,281382150624,281444868480,16476900,"阿呱Debbie",6,女,"2258嘛~",2025-11-04 16:43:22,0,1,"~\(≧▽≦)/~",山西,否,https://i0.hdslb.com/bfs/face/4d6d39a4eab49e3e1459bfb92d718c8691318624.jpg
41,,279624413489,688465586,"周黑鸭全国代理Aria",2,保密,"@kKAqua丶",2025-11-03 23:01:27,0,0,"",新加坡,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
42,,281075645216,2126534810,"平行宇宙汽水",4,男,"go ultra和nano选哪个好（本人学生平时会在元旦晚会研学和跑步之类的场景会用到）",2025-11-01 11:22:28,1,0,"",广东,否,https://i2.hdslb.com/bfs/face/1d623a40a011ee72063a11d4e77b76c9e8d8a5a6.jpg
43,281075645216,296476459392,71549448,"冷情不是冷清",6,保密,"nano",2026-03-24 02:42:16,0,0,"这个人灰常神秘，啥子都没写",广东,是,https://i0.hdslb.com/bfs/face/80b70049a1dc3a8b00b170d2239fb68a2fc71a13.jpg
44,,281011907904,1476566825,"Tuo_YM",5,男,"go8",2025-10-31 20:30:23,0,0,"",陕西,否,https://i2.hdslb.com/bfs/face/2a426aa5b0de2bb64ca9ff9b879f097d9d8fc442.jpg
45,,279165428129,8115155,"夜海蓝星",6,男,"冲锋衣什么时候上，卫衣厚挂绳用不了了，看了这个视频才想买ultra的，现在比首发都便宜300多了[大哭]",2025-10-30 14:49:35,0,0,"你也可以叫我阿焱",浙江,否,https://i2.hdslb.com/bfs/face/3436b2ae311e2d3e4d844e89d63aced1b68a89c6.jpg
46,,279139162961,439736071,"the-white",6,男,"兄弟们，我明年去日本想买个相机这样录制 这个推荐吗",2025-10-30 08:58:24,0,0,"哇，这里可以写签名",江苏,是,https://i1.hdslb.com/bfs/face/c2e32faba6ad0b0dd8574be27a3a156acd8f88b5.webp
47,,279113120977,28157886,"椿楠心",6,保密,"tim 可以出个充电配件不，就给前面相机充电的，我买爆[doge_金箍]",2025-10-29 22:42:27,0,0,"",浙江,是,http://i0.hdslb.com/bfs/face/67349217346e526038ad1a231bd037c8bdd8138b.jpg
48,,279112419329,28157886,"椿楠心",6,保密,"说的太对了",2025-10-29 22:36:32,0,0,"",浙江,是,http://i0.hdslb.com/bfs/face/67349217346e526038ad1a231bd037c8bdd8138b.jpg
49,,279077282337,3546982649956469,"j今天学习了吗sss",2,保密,"①双十一要买东西一定要领取了国补再下单，直接立减20%! ②京东搜  【 领大红包104  】领取手机，电脑， 显示器等国补资格",2025-10-29 16:28:12,0,2,"",广东,否,https://i2.hdslb.com/bfs/face/a7cf3c1bc21b74f36ad6a788a4bf1d552322be40.jpg
50,,279016117553,3494353020389484,"爱地理的小陈",4,保密,"因为磁吸，直接随手放老师办公室，窥察敌情",2025-10-28 22:28:18,0,1,"",河南,是,https://i0.hdslb.com/bfs/face/1d1ac1a9711682509c095d578b53c00d37884cd9.jpg
51,,278754441825,11810276,"建筑小食",6,男,"下一代Go888，再下一代GoElite",2025-10-26 10:53:12,0,2,"",北京,否,https://i2.hdslb.com/bfs/face/d582577b115057a0a388cdfacfc058dd6dbd225f.jpg
52,,278716866033,353283851,"叫我张淑芬就好了",6,男,"衣服上了吗！",2025-10-25 23:18:45,0,1,"略略略

请大家督促我学习

京阿尼厨













梦想是成为宝可梦大师
梦想是成为统计大佬
梦想是成为自律的人",英国,否,https://i2.hdslb.com/bfs/face/727238a5207b3aacd2c4fc48f09d18226c0b1277.jpg
53,,278471056945,34306079,"动画师魑鼠",5,保密,"第一部运动相机买的是go2  然后拇指相机丢了……… 又买了个GO3 一年后 拇指相机独立拍摄 十分钟左右就没电了  特别惨   建议还是买另外两个品牌吧[笑哭]",2025-10-23 15:32:38,3,3,"苦逼动画师一枚",北京,是,https://i2.hdslb.com/bfs/face/80336860b4f8c9bc2d1f8210e6a31583a779ceb4.jpg
54,278471056945,278601348881,3546570366650453,"wskxi",4,保密,"哪两个",2025-10-24 22:28:29,0,0,"",内蒙古,是,https://i2.hdslb.com/bfs/face/54a2aecf6cae39942455da7d4e8e7071c5cb8c0c.jpg
55,278601348881,278862452769,34306079,"动画师魑鼠",5,保密,"回复 @wskxi : gopro 大疆  除了这俩还有啥啊兄弟[撇嘴]",2025-10-27 11:13:18,0,0,"苦逼动画师一枚",北京,是,https://i2.hdslb.com/bfs/face/80336860b4f8c9bc2d1f8210e6a31583a779ceb4.jpg
56,278471056945,284030267936,490266437,"pointkey",5,保密,"电池不行了吧",2025-12-01 12:39:38,0,0,"",江苏,是,https://i2.hdslb.com/bfs/face/31df7da9e8b44eeb0dd055d2b77cd85f60f715a4.jpg
57,,280089342080,3546982610111314,"你真棒诶jjj",2,保密,"哈哈哈，看了一个热门博主的视频
① 一定要领取了国补🧧再下单立减20%
② 惊东搜【天降红包353】领取手机、家用电器、电脑、平板等等大额红包以及国补资格 我也是这样操作，买东西省了400多！✌️",2025-10-23 11:20:33,0,2,"",广东,否,https://i1.hdslb.com/bfs/face/1ef6aa54224547ef17333a76c2b6d4610bb0dac4.jpg
58,,279180110880,2710534,"马达卡斯",5,保密,"GOTurbo",2025-10-14 15:13:23,0,0,"",北京,否,http://i1.hdslb.com/bfs/face/11c16533a730ca6d751d5c86bc6c7bdf1bbdcd73.jpg
59,,278723625520,341660034,"蕞终Boss",3,男,"想问问GO Ultra的画质可以平替Ace pro2或者Ace pro吗？不考虑8K这些，只用来拍9:16短视频上传平台",2025-10-10 00:31:19,0,0,"",广西,否,https://i0.hdslb.com/bfs/face/76629fe16040d65052f54b046b69e6694bc5d7a8.jpg
60,,277176603377,1412151468,"猫起来睡大觉",4,保密,"1",2025-10-09 23:05:15,0,0,"",海南,是,https://i0.hdslb.com/bfs/face/37041064a9247e0316b7a249c1af76961e6d766c.jpg
61,,277145562497,347767959,"颜颜是只马尔比",6,女,"想买一个第一视角的相机别在小狗身上，有没有推荐的呀[蹲蹲][蹲蹲][蹲蹲][蹲蹲]",2025-10-09 17:45:45,0,0,"?：比熊＆马尔济斯串串
?：日常/吃播
?：标体/10kg/1岁半小男孩/单身ing",上海,是,https://i0.hdslb.com/bfs/face/d20213fe2b08f7f7ec5bd0be153e43b83881a3e3.jpg
62,,277080835281,3096889,"庸医密汤",6,男,"只有我关心那件冲锋衣吗，外壳穿脱频繁的话挂绳很麻烦，户外衣服大多是连帽或者高领，自带卡口的话会方便很多",2025-10-08 22:34:18,4,5,"兴趣使然",四川,否,https://i1.hdslb.com/bfs/face/16a0d38e7a44e41351b7ba2103da12128e23fcb2.gif
63,277080835281,277415094209,17760895,"Ebingo3gogo",5,保密,"同关心 冲锋衣快上新吧",2025-10-12 13:16:36,0,1,"",江苏,是,https://i1.hdslb.com/bfs/face/a9f108e25cec73feb6ac2ad4531eedbfef4d49b9.jpg
64,277080835281,279014359360,296051015,"vtolux",6,保密,"加一，蹲一下冲锋衣",2025-10-12 20:57:06,0,0,"",河南,否,https://i2.hdslb.com/bfs/face/3b6c2466196ff304017e635f4fab8a99c517c553.jpg
65,277080835281,279434950208,3518530,"小傻改2",6,男,"是的我也在蹲，完全没消息",2025-10-17 01:40:06,0,0,"福瑞画师，聊天群336114969，禁言委托裙806574281",江苏,是,https://i1.hdslb.com/bfs/face/02555ea269d4446ab7948f3d480474be983d4006.jpg
66,277080835281,279520677264,3518530,"小傻改2",6,男,"巧了，今天冲锋衣上新了，但是没看到有提到go u的卡扣",2025-10-17 22:02:22,0,0,"福瑞画师，聊天群336114969，禁言委托裙806574281",江苏,是,https://i1.hdslb.com/bfs/face/02555ea269d4446ab7948f3d480474be983d4006.jpg
67,,277056254497,482006371,"帝羽传奇",3,保密,"poket3、go ultra、action5三选一选哪个[吃瓜]本人会带到学校里拍摄",2025-10-08 18:38:16,1,1,"我想冷藏课",江苏,否,https://i1.hdslb.com/bfs/face/7e01fde767ac550289ac151c7aab3d6895b443a1.jpg
68,277056254497,294085732929,32282066,"丨破晓之刃丨",6,保密,"后面买的啥",2026-03-25 09:05:42,0,0,"",广东,是,https://i2.hdslb.com/bfs/face/2e20a5b64ade8c14b869f87340b09b157201593f.jpg
69,,278387015504,14614445,"夜烁星火",6,男,"我想录第一人称视角弹钢琴怎么选好呀，对收音的要求可能会比较高",2025-10-07 01:46:56,0,0,"为梦想，我愿风雨兼程",广西,否,https://i2.hdslb.com/bfs/face/93b2b4eac8bd1ad1a717e2748252720b6ed4d134.jpg
70,,278280230096,626931938,"庚申庚申",4,保密,"iphone17promax
解决一切问题",2025-10-06 10:27:19,0,0,"崩坏星穹铁道、原神、英雄联盟、and others.",江苏,是,https://i2.hdslb.com/bfs/face/f9078875338fc5586411af872f688dbd3efdbef5.jpg
71,,276678369041,6582357,"JioJioの不妙冒险",6,保密,"go force不就得了[折耳猫]",2025-10-05 17:16:08,0,0,"我不记得了",云南,是,https://i0.hdslb.com/bfs/face/adfcf7cc685dd9b32789fd12e26ef4c58626e815.jpg
72,,276521093569,3546762616769175,"晨曦数码汇",5,男,"https://b23.tv/BV1f7xHz6Eod",2025-10-04 10:42:28,0,1,"曾用名：晨曦启智轩，专注于科技数码(手机、手表、电脑、平板、智能电动车)",江西,否,https://i0.hdslb.com/bfs/face/0c3c94ebc8abb33c93ec0c1b82b84e80a6413418.jpg
73,,275723277873,30083867,"我有一堆森林",5,保密,"一直不理解为什么电子产品后面会加Plus，Pro，ultra，这些既高大上，又土味十足的后缀，直接叫GO+，GO++，GO+++不好么！[吃瓜]",2025-09-26 13:36:06,10,15,"",山东,否,http://i2.hdslb.com/bfs/face/bbafcaa5f2851a25a7ce133939b424632f13e9fe.jpg
74,275723277873,277200934384,3493285857331641,"会跑酷的蛇",5,男,"怎么读",2025-09-26 16:28:30,0,0,"",中国香港,是,https://i0.hdslb.com/bfs/face/b98a76f7890bdba093164cc60da443e8c3dbca34.jpg
75,275723277873,276141360609,1290071958,"星河千落",3,女,"这有什么高大上的",2025-09-30 20:39:39,0,0,"",安徽,否,https://i0.hdslb.com/bfs/face/2c827bb7355e77b2529473707f76631f9263faa2.jpg
76,275723277873,277715246224,3537117386902223,"你妈呢___",4,保密,"哪里高大上了，这些英文很高级吗",2025-10-01 15:34:32,0,0,"",湖北,否,https://i2.hdslb.com/bfs/face/eb96a268255d3b4b28e3daf1821eed9ea5e67864.jpg
77,275723277873,277926324064,44629721,"_你找不到我_",6,保密,"go plus go plus plus go plus plus plus go sharp？",2025-10-03 12:39:25,0,0,"",上海,是,http://i2.hdslb.com/bfs/face/d717e82fed6ab71e40cff1dfde676564c6ede282.jpg
78,277200934384,276907362577,355315578,"隐者桃",6,男,"回复 @会跑酷的蛇 :go趴，go趴趴，go趴**",2025-10-07 13:44:16,0,2,"亲爱的朋友，何必往下再翻呢，这里没有抽奖也没有原神。",新加坡,是,https://i0.hdslb.com/bfs/face/2dfd2c1021e8dc538d287de9b4e29a596fd07cda.jpg
79,275723277873,279427641392,13183506,"超时空饭桶",5,保密,"因为苹果是这么叫的",2025-10-16 23:58:40,0,0,"",河南,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
80,277200934384,279445931472,4942544,"圆润de甜瓜",6,保密,"回复 @会跑酷的蛇 :go plus，go加加，go 三十，go sharp",2025-10-17 08:10:41,0,0,"",浙江,是,https://i2.hdslb.com/bfs/face/12804ad9e0034ea447c8016c194b0c8e04fcc2c7.jpg
81,275723277873,284355866417,3546884073327486,"Yang-run",4,男,"你这都读不出来",2025-12-25 01:14:43,0,0,"刚开始跑步的文化生一位~
PB：半马135 10k42 5k20
闲鱼名：不喜欢pace2",陕西,否,https://i0.hdslb.com/bfs/face/71e3a02b548c4e689243dc7c657b791db8cb3e5c.jpg
82,275723277873,289681730816,701710909,"叶漫舟",6,男,"banana",2026-01-25 22:22:49,0,0,"?",河南,是,https://i1.hdslb.com/bfs/face/e51f4dce72543ad0089e3c56c72620282cf2c30a.jpg
83,275723277873,293012444513,407239277,"ikar__",6,男,"go 加加加，go plus plus plus 你觉得好听吗",2026-03-14 12:57:37,0,0,"这个人很神秘，什么都没有写。",重庆,是,https://i2.hdslb.com/bfs/face/82a71f91d1ab932b554a955d6bf491fb836c759d.jpg
84,,277183296736,3546736991668425,"F1车手_马克思维斯塔潘",5,男,"到时候准备买一个，问一下各位大佬，该买go 3 s还是go ultra好？",2025-09-26 12:33:41,4,0,"F1，Minecraft",广东,否,https://i0.hdslb.com/bfs/face/d181cbef420c18085313b37a4e76e91da016969b.jpg
85,277183296736,277255715520,316456019,"stevesujr1",5,保密,"Ultra",2025-09-27 03:22:15,0,0,"大白只應天上有",中国台湾,否,http://i2.hdslb.com/bfs/face/bc2ce6b9f5d59e86da1cdfccec86b6e7c015ead4.jpg
86,277183296736,275817332753,1467687472,"142444",3,保密,"加点上ultra",2025-09-27 13:14:17,0,0,"",山东,否,https://i1.hdslb.com/bfs/face/f0f1d22481b1b83d77681bf1f45171bbaa75cde8.jpg
87,275817332753,277607931024,3546736991668425,"F1车手_马克思维斯塔潘",5,男,"回复 @142444 :所以兜兜转转还是买了action5Pro",2025-09-30 17:12:37,0,2,"F1，Minecraft",广东,否,https://i0.hdslb.com/bfs/face/d181cbef420c18085313b37a4e76e91da016969b.jpg
88,277607931024,278582655456,3493285857331641,"会跑酷的蛇",5,男,"回复 @韩睿hanrui :蚌埠住了",2025-10-08 17:49:28,0,0,"",广东,是,https://i0.hdslb.com/bfs/face/b98a76f7890bdba093164cc60da443e8c3dbca34.jpg
89,,277182429744,3493297626548436,"Ego_GGGGGGG",4,保密,"用了一年多的go3還在服役，拿去爬山、潛水、朔溪，不追真的很高清畫質還可以接受",2025-09-26 12:25:09,0,0,"",中国台湾,否,https://i0.hdslb.com/bfs/face/1cbe6ee06ad63d3c791b03ede249d6ca3075032d.jpg
90,,275678018673,1722284190,"灵扬公子",4,保密,"这个怎么连麦克风啊",2025-09-25 22:50:03,0,0,"",云南,是,https://i0.hdslb.com/bfs/face/23148c11c125c10d4b47bf44ee68164f07937574.jpg
91,,277005113616,700769110,"爸爸来直播间了",4,保密,"2000多的东西不用犹豫，有生活的人直接买，非常好用。没生活的人就别考虑了。",2025-09-24 15:42:15,0,0,"",北京,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
92,,276966593312,202623326,"前行者X",6,男,"我也想买相机",2025-09-24 03:52:07,0,0,"以前我没得选择",河北,否,https://i2.hdslb.com/bfs/face/3e23d010520db731f0fb6770d63d4015a2d46a8b.jpg
93,,276942834656,287096178,"拿小微单的大亭",6,男,"国补后1690，准备把我一代的ace pro出了",2025-09-23 21:46:44,2,4,"Sony Alpha 7CR︱Nova14 ultra | 大疆NANO",广东,是,https://i0.hdslb.com/bfs/face/e4426787120be8c8c8c35c67c07ef97c69fdb0b3.jpg
94,276942834656,275494876417,276334571,"minizhow",5,保密,"为何我这看到是2600",2025-09-23 22:19:14,0,0,"",广西,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
95,276942834656,278749337072,272591207,"-一路向北逆转-",6,保密,"怎么看1690啊",2025-10-10 11:12:29,0,0,"",福建,是,https://i2.hdslb.com/bfs/face/584f3adca4b304834c19398499a4aff65b5f5eaf.jpg
96,,276936231088,286731925,"BiLyCya",6,女,"坏事了[笑哭]",2025-09-23 20:40:54,0,2,"",北京,是,https://i1.hdslb.com/bfs/face/62e4eaf076fefdc4fc6355d1cc1e517f21503b84.jpg
97,,276819728464,695078214,"鉴定下咬伤毒蛇的粉丝",5,保密,"[热词系列_啊?][热词系列_再给一集]",2025-09-22 17:47:07,0,0,"2022，2，22",广西,否,https://i0.hdslb.com/bfs/face/4ee202a01da094508e8142993005ef11fc09b6c8.jpg
98,,275363088113,2178792,"AdnachielW",6,保密,"看了好多，还是没搞清自己需要x系列全景，还是go系列拇指。有骑行、摩托、滑雪需求，但又觉得全景大小累赘，很多全景的特效感觉过了新鲜期就用不到了，持续观望中。",2025-09-22 14:47:55,0,1,"还在泡b站的八零后，大概再过两年就可以被评为出土文物了",河北,是,https://i0.hdslb.com/bfs/face/a01f8c7eb34c1c36e99a1b25a751602600226224.jpg
99,,276676458032,1558318406,"请道友给我一个胶带",5,保密,"[点赞]",2025-09-21 08:22:05,0,0,"人生是一场没有终点的马拉松",广西,否,https://i2.hdslb.com/bfs/face/03fe9498986b5041775e72dadb1a57438aacc247.jpg
